PID,Name of Project ,Description,Objectives,Project Highlight,Agroecological Zone,Region,District,Beneficiaries,"CSA Pillars (Productivity (food security), mitigation and adaptation)",System,Water Management ,Soil Nutrient and Land Management,Genetic Resources,Energy Management,Other Thematic Areas,CSA Technology
P135,National Forest Programme Facility (NFP), safequarding the benefits due to farmers participating in the Modified Taungya Plantation Scheme,,,,,,,,Forestry,,,,,,
P136,Sustainable Development of Rain-fed Lowland Rice Production Project I,Dissemination of the model for sustainable rain-fed lowland rice development is accelerated within the Project Area,Productivity and profitability of rice farming in rain-fed lowland in Project Area increased,"Development of improved rain-fed lowland rice production, improvement in farming support system for sustainable rain-fed lowland rice production and the establishment of dissemination procedure of a model for sustainable rain-fed lowland rice development, consisting of the technical package and farming support system",,"NR, AR","Atwima Mponua, Ahafo Ano North, Adansi North, Adansi Asokwa (Created from Adansi North), Adansi South, Asante Akim North, Sekyere Central, Ejura Sekyedumase, Offinso North, Afigya Kwabre North (Created Afigya Kwabre), Afigya Kwabre South, Amansie West, Asante Akim South, Mampong Municipal, Sekyere East, Sekyere South, Sekyere Kumawu, Sekyere Afram Plains, Amansie Central, Atwima Nwabiagya Municipal, Atwima Nwabiagya North (Created from Atwima Nwabiagya), Bosome Freho, Bekwai Municipal. Tamale Metropolitan, Sagnerigu Municipal, Zabzugu, Gushegu Municipal, Savelugu Municipal, Nanton (Created from Savelugu), Mion, Kumbungu, Tolon, Yendi Municipal, Karaga, West Mamprusi Municipal, North East, Mamprugu Moagduri (Created from West Mamprusi), East Mamprusi Municipal, Chereponi, Central Gonja, Savanna, East Gonja Municipal, North East Gonja (Created from East Gonja)",,,Crop Production,Yes,Yes,No,No,,
P137,Sustainable Development of Rain-fed Lowland Rice Production Project II," dissemination of improved cultivation techniques in 35 MMDAs in 2 regions (later 41 MMDAs in 4 regions),
contributing to the increase of domestic rice production. It also intends to build capacities of the
Regions as well as MMDAs to manage and finance their rice extension activities.",,,,"NR, AR","Atwima Mponua, Ahafo Ano North, Adansi North, Adansi Asokwa (Created from Adansi North), Adansi South, Asante Akim North, Sekyere Central, Ejura Sekyedumase, Offinso North, Afigya Kwabre North (Created Afigya Kwabre), Afigya Kwabre South, Amansie West, Asante Akim South, Mampong Municipal, Sekyere East, Sekyere South, Sekyere Kumawu, Sekyere Afram Plains, Amansie Central, Atwima Nwabiagya Municipal, Atwima Nwabiagya North (Created from Atwima Nwabiagya), Bosome Freho, Bekwai Municipal. Tamale Metropolitan, Sagnerigu Municipal, Zabzugu, Gushegu Municipal, Savelugu Municipal, Nanton (Created from Savelugu), Mion, Kumbungu, Tolon, Yendi Municipal, Karaga, West Mamprusi Municipal, North East, Mamprugu Moagduri (Created from West Mamprusi), East Mamprusi Municipal, Chereponi, Central Gonja, Savanna, East Gonja Municipal, North East Gonja (Created from East Gonja)",,,Crop Production,Yes,Yes,No,No,,
P138, Africa Upland Farming System,"The project involves the development of soil and cultivation management technologies that improve productivity, profitability and sustainability, and dissemination of recommended technologies to small-scale farmers in the wet and dry savannas in Africa","The project aims to develop soil and agronomic management technologies that improve productivity, profitability, and sustainability of small-scale field crop systems in wet and dry savannas in Africa, and to propose measures to promote the diffusion of these technologies, using northern Ghana and Burkina Faso as model areas",,Guinea Savanna and Sudan Savanna,"NR,UW,UE (old)",,,,Crop Production,Yes,Yes,No,No,,
P139,Development of rice production technologies in Africa,"A research will focus on offering new materials obtained by evaluating or improving the existing genetic resources of upland and lowland rice that are suitable for African field conditions. Efforts will be directed to reduce the losses caused by the lack of phosphate fertilizers or by rice blast, and to boost rice production.
The project will develop a low life cycle cost paddy infrastructure technology, an Asian-type rice cultivation system and a paddy field model suitable for African conditions. Likewise, support will be extended to enable local farmers to easily recreate Asian-type irrigated paddy fields that are bunded, levelled and puddled, and carry out paddy rice cultivation",,,,,,,,Crop Production,Yes,Yes,Yes,No,,
P140,Manual of soil fertility improvement technologies in lowland rice ecologies of Ghana,      ,,,,,,,,Crop Production,Yes,Yes,Yes,No,,
P141,Savannah Agriculture Value Chain Development Project (SADEP),"Ensure national food and nutrition security, create employment and contribute to industrialization. The project is expected to contribute to the Government’s industrialization agenda, support PFJ and RFJ, skills development and entrepreneurship for women and youth, and build resilient food systems in the savannah areas of northern and middle belts of Ghana. The proposed project will have three components namely (i) Climate-resilient Production Development, (ii) Sustainable Value Chain Development, and (iii) Project Management.",,,Guinea Savanna and Sudan Savanna,"NR,UW,UE (old)","Tamale, Savelugu/Nanton, Sissala East, Bawku West, Savannah, West Gonja, East Mamprusi, Mion, Nandom",,,Crop Production,,,,,,
P142, Soil Health Program (SHP),"increase incomes, improve food security and reduce household poverty by promoting the use and adoption of integrated soil fertility
management (“ISFM”) practices among smallholder farmers and creating an enabling environment for farmers to adopt the practices in an efficient, equitable and sustainable manner across sub Saharan Africa.",,"Creation of a physical and financial access to appropriate fertilizers for smallholder farmers in an efficient, equitable and sustainable manner; improvement in access to locally appropriate ISFM knowledge, agronomic practices and technology packages, smallholder farmers in an efficient, equitable and sustainable manner; and influence a national policy environment for investment in fertilizer and ISFM.",,"NR, AR","Tamale, Kumasi",,,Crop Production,Yes,Yes,No,No,,
P143,Public Private Partnership for Competitive and Inclusive Rice Value Chain Development ,"To improve rice farmers’ income and food security/Safety in the Northern, Brong Ahafo, Volta, Ashanti and the Central regions",,,,"BA, AR, CR, NR, VR",,,,Crop Production,Yes,Yes,No,No,,
P144,Ghana Cassava Industrialization Partnership Project (GCIPP),To catalyse and sustain an inclusive agricultural transformation in Ghana to increase incomes and improve household food security through consistent supply and processing of cassava for both industrial and food uses.,,,,"BA, NR",,,,Crop Production,,,,,,
P145,Validating Fertilizer Recommendations,,,,,"UE, UW, NR, NE, VR","Bawku Municipal, Bawku West, Garu, Tempane, Kasena Nankana West, Bongo and Pusiga Districts.
Sissala West, Sissala East, Nandom, Lambusie, Nadowli Kaleo and Lawra Districts.
Saboba and Tatale Districts
Chereponi and Bunkurugu Nankpanduri Districts
Ketu North, Ketu South, Akatsi North Agortime Ziope and Ho West Districts.",,,Fertilizer Production,,,,,,
P146,Commercialization of WAACI Released Maize Hybrids,"The three new WACCI hybrid maize varieties are WACCI-M-1205, WACCI-M-1210 and WACCI-M-1218. These hybrids are the first ever hybrid maize seeds to be produced by a university in the history of Ghana.",,,,"UE, UW",,,,Crop Production,,,,,,
P147,Esoko m-Commerce Ghana Pilot Project,"In August 2016, Esoko received grant support from The Alliance for a Green Revolution in Africa (AGRA) to help 80,000 smallholder farmers in Ghana overcome the challenges associated with access to affordable and quality inputs in order to increase productivityand incomes. The case focuses on lessons learned from ‘Fasiba’, a digital finance and information services project and the challenges encountered during the pilot phase",,,,,,,,,,,,,,
P148,Enhancing Resilience to Climate and Ecosystem Changes in Semi-Arid Africa: an Integrated Approach," a project focused on climate and ecosystem change adaptation and resilience research. The project investigates climate and ecosystem changes on major crops through field survey and modelling, assesses impacts of the changes on agriculture and rural development and local capacity to cope with flooding and droughts. ",To develop integrated strategies to build a management base that is resil- ient to the changes and maintains certain socioeconomic and resource levels,,,"NR, UW",,,,,,,,,"Yes- Agroecosystem Resilience, Engineering Resilience, Social Institutions · Technical Capacity Development",
P149,Planting for Food and Jobs,"The PFJ program aims at contributing to the modernization of the agriculture sector, thereby leading to structural transformation of national economy through food security, employment opportunities, and reduced poverty.",,,,Ghana,Ghana,,,Crop Production,Yes,Yes,Yes,Yes,"Yes-employment opportunities, poverty reduction",
P501, Feed the Future Innovation Lab for Small-Scale Irrigation (ILSSI),"The project aims to benefit farmers of Ethiopia, Ghana, and Tanzania by improving the effective use of scarce water supplies through interventions in small-scale irrigation. It is a part of the U.S. government’s Feed the Future Initiative. The project is led by the Norman Borlaug Institute for International Agriculture at Texas A&M University.","1. Strengthen information, tools, and policy and programmatic approaches to support 
environmentally and economically sustainable scaling of small-scale irrigation while 
simultaneously reducing and mitigating risks.
2. Generate evidence on trade-offs of small-scale irrigation technologies and related practices and 
approaches in the context of climate variability that can inform development investment and 
planning for resilience.
3. Identify approaches that improve inclusive access for women, men, and youth to technology 
and practice to increase productivity, particularly in irrigated agriculture.
4. Generate knowledge and strengthen capacity to support resilience and gender and nutritionsensitive policies, planning, and programming.","ILSSI sought to contribute to an increase in
profitable, sustainable, and gender-sensitive irrigation to support inclusive agricultural growth, resilient 
food systems, and nutrition and health outcomes, particularly for vulnerable populations in Ethiopia, 
Tanzania, Ghana, and Mali, as well as other countries in the West Africa region, such as Nigeria. ",Guinea Savanna,NR1,No,"690,000 smallholder farmers, 28567 Hectares under new, improved or rehabilitated irrigation and drainage 
services, 6522 households, 7220 individuals received food security training, and 6287 individuals applied improved management practices.",Productivity,Crop Production,Yes,No,No,No,No,"solar-powered pumps, 
soil-moisture tools, conservation agriculture practices, motor pumps, treadle pumps, "
P502,Southern Horticulture Zones Project,"ACDI/VOCA worked to increase agricultural productivity, high-value commercial and basic food crop production, and private-sector investment in agriculture to boost farmers’ incomes and improve overall community well-being.","1.Increase agricultural productivity.
2. Increase high-value commercial and basic food crop production.
3. Increase private-sector investment in agriculture.","CDI/VOCA’s Ghana team supported local FBOs using a market-driven, value chain-based approach to prioritize commercially viable agricultural activities that had the potential to be upgraded and would benefit large numbers of farm households. In addition to market conditions, social and environmental impact were also weighed.",,,,"Trained 286 FBOs and 12,832 farmers and facilitated agreements between the FBOs and 9 different buyers",Productivity,Crop Production,Yes ,Yes,No,No,No,
P503,"""Far Ban Bo"" Protecting Fisheries Livelihoods","The Far Ban Bo project is designed to address the challenges of overfishing and unsustainable fishing, including Illegal, Unreported and Unregulated (IUU) fishing, low compliance and weak capacity for law enforcement within the sector. 
","1. Strengthen capacity of fishery associations to engage in equitable fisheries governance and ensure safeguards for poor, vulnerable smallholder fishers in the context of capacity reductions 
2. Reduce IUU through better monitoring but also support smallholder fishermen, and particularly women, to engage in sustainable and alternative livelihood activities to increase their food and nutrition security. 
","The project contributes to sustainable fisheries resources 
management to improve food security, nutrition and livelihoods of smallholder fishers and other users of fishery resources in selected districts of the Western, Central, Greater Accra, and Volta regions","Coastal Savanna, Semi-deciduoud forest, Rain forest","CR , GA, VR2, WR2","Awutu Senya, Gomoa East, Gomoa West, Effutu
Municipal, Ekumfi District, Mfantsem An Municipal, Abura Asebu
Kwamankese, Cape Coast Municipal, Komenda-Edina Eguafo-Abrem

Ada East District

Keta District


Not stated","13,500 vulnerable smallholder fishers and users of fishery resources, 26 communties, and  48452 online audiences.",Productivity,Fisheries and Aquaculture ,No,No,No,No,"Yes - Addresses overfishing 
and unsustainable fishing practices",
P504,(ICRAF - WA) Building Resilient Agro-Sylvo-Pastoral Systems In West Africa Through Participatory Action Research (BRAS-PAR).,"The CGIAR program on climate change, agriculture and food security (CCAFS) has provided 
financial support for the implementation of the project entitled “Building resilient agrosylvo-pastoral systems in West Africa through participatory action research”. This project is 
being implemented by ICRAF (Lead), ILRI, IUCN, INERA (Burkina Faso), INRAN (Niger), 
CSIR/SARI (Ghana) and ISRA (Senegal).","1. Testing, evaluation and validation of smart models of integrated crop and livestock systems with rural communities and other stakeholders. These systems will improve integrated crop and livestock systems by integrating climate risk management strategies.
2. Simulation of options for improving water and crop-livestock-tree systems in different climatic and socio-economic scenarios using models (WaNuLCAS, SWAT, etc.) for informed decision-making.
3. Analysis of the conditions for success and failure of technological and social innovations that favor climate-friendly agriculture. ","This project seeks to develop up-scalable 
technological and social innovations of climate-smart agriculture integrating crop-livestock-tree systems through improved understanding of farmer's perceptions and demands, by addressing barriers to adoption taking into consideration gender and social differentiation.",Sudan Savanna,UWR,"Jirapa Municipality,
Lawra Municipal District",,"Productivity, Adaptation, Mitigation",Crop/Livestock Production ,Yes ,Yes,Yes,No,Yes - Integrated Production System,"stone lining, tied ridges, compost production and use, crop residue retention, planting pits (zaï), grafting, 
minimum tillage, mulching, earth-bunds, improved crop varieties, crop rotation, intercropping, pruning, tree planting,
water management, integrated use of organic and inorganic fertilizers, Improved housing, supplementary feeding (Acacia fruits), crop residue retention, improved breeds, "
P505,"A landscape approach 
to climate-smart 
agriculture in Ghana","Rainforest Alliance developed a landscape-level project centred on sustainable practices 
that conserve biodiversity, increase productivity, and provide greater long-term stability to all 
value chain participants and increase the income of smallholder farmers. The goal was to 
create a sustainable landscape that harnessed the transformative power of markets. ","The aim was to improve the capacities of farmers to mitigate and adapt 
to climate change while simultaneously increasing productivity. 
production.","The project focused on 
organizing individual farmers, establishing landscape management structures, diminishing 
pressures to further encroach on surrounding forestlands, and restoring ecosystems within 
cocoa agroforests and other degraded 
land-use systems while increasing cocoa. ",Rain forest,WNR , Juabeso-Bia District," 2,000 farmers from 34 communities","Productivity, Adaptation ",Forestry,No,No,No,No,"Yes - Sustainable Practices (A landscape Approach), Supply chain","Cocoa Agroforestry, enrichment planting"
P506,Agricultural Development & Value Chain Enhancement (ADVANCE) Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.","Sub-purpose 1 - Increased agricultural productivity of targeted commodities
Sub-purpose 2 - Increased market access and trade of targeted commodities
Sub-purpose 3 - Strengthen local capacity for advocacy and activity implementation","The overall goal of ADVANCE is to increase competitiveness of the maize, rice and soybean value 
chains.",Guinea Savanna,"NER, NR1, UER, UWR","Bunkpurugu-Yunyoo, Chereponi, Gushiegu, Karaga, Mamprugu Moagduri, Mion, Nanumba North, Nanumba South, Savelugu Nanton, Saboba, Tamale Metropolitan, Yendi Municipal, Sawla-Tuna-Kalba, Bole, Central Gonja, Tatale Sanguli, Tolon, West Mamprusi, Zabzugu.

Bawku Municipal, Bawku West, Binduri, Bolgatanga Municipal, Builsa North, Builsa South, Garu-Tempane, Kassena Nankana East, Kassena Nankana West.

Daffiama Bussie Issa, Jirapa, Lambussie-Karni, Lawra, Nadowli-Kaleo, Nandom, Sissala East, Sissala West, Wa East, Wa Municipal, Wa West.","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ","Productivity, Adaptation ",Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,"Improved Varieties, fertilzer (organic and Inorganic), plowing"
P507,Agroforestry in Communities for Restoration and Empowerment (ACRE),ACRE is aimed at addressing climate change and restoring nature through an agroforestry food production system.,"1. Encourage farmers in the village to adopt farming practices that conserve nature and reduce carbon emissions by using the agroforestry farm as a demonstration site.
2. Engage school children in food-growing activities as part of their education, empowering them to connect with nature and increase their environmental awareness.
3. Raise public awareness about the benefits and contribution of agroforestry to food systems transformation.
4. Advocate for agric-food policy changes that promote sustainable food production and support youth in agriculture. ","The project hopes to advocate for sustainable agricultural production that puts the planet first, empowers communities and improves the livelihoods of farmers and households.",Transition Zone,ER,Asuogyaman District,,Productivity,Crop Production,Yes,Yes,No,No,No,Agroforestry
P508,Barlep-Brong Ahafo Rural Livelihood Enhancement Project,"Assist farmers to increase their vegetable production outputs by facilitating year-round vegetable production through access to drip irrigation facilities. Participating farmers will double their output by the end of two years.
Assist farmers to improve the profitability of their farm enterprise through better enterprise management practices. Through improved planning and coordination as well as cost reduction through reduction in the use of inorganic inputs, the project will assist beneficiaries to increase their earnings by at least 50%.",,,Transition Zone,BER1,Techiman Municipal,,,Crop Production,Yes,No,No,No,No,
P509,Building Climate-Smart Farming Systems Through Integrated Water Storage And Crop-Livestock Interventions,"This project combines a focus on crop-livestock interventions with water retention techniques and infrastructure. In doing so, it identifies synergies that exist between water retention interventions such as Zaï, contour ridges, dugouts, small reservoirs; and crop-livestock interventions such as trees and legumes, fodder production, crop residue management. ","1. Improving water availability for crops, livestock and humans throughout the year.
2. Stabilizing cash flow from crops and livestock over time.
3. Establishing a reliable value chain for crops and livestock.",This project aims to help 500 farmers in Climate-Smart Villages (CSVs) implement additional water storage options on their farms to improve their climate resilience.,,,,"20,000 small holders farmers",Productivity ,Crop/Livestock Production ,Yes,No,No,No,"Yes - Integrated Production System, sustainable food systems and value chains","Zaï, contour ridges, dugouts, small reservoirs; and crop-livestock interventions such as trees and legumes, fodder production, crop residue management"
P510,Building Livelihoods And Resilience To Climate Change In East And West Africa,"Our focus of during period has been on valuing past work of PICSA trainings, CSA development and on establishing new contacts to develop new partnerships in climate information dissemination (VIAMO), linking PICSA and value chain development (SNV and CORAF) and developing adaptation benefits financing by both public and private sectors (AfDB).","1. Gain new knowledge on scalable CSA technologies and the options available for institutions. This new knowledge must show demonstrable benefits to farmers (including women farmers) and young people, with positive impact on employment, climate resilience and low emissions development. 
2. Engage ongoing initiatives to help prioritize the 'best bet' policy options ","The goal of this project is to build livelihoods and improve the resilience of smallholder farmers of East Africa (Tanzania, Kenya and Ethiopia) and West Africa (Mali, Senegal, Niger and Ghana) through the large-scale adoption of CSA technologies and practices.",,,,,"Productivity, Adaptation, Mitigation",Crop Production,Yes,Yes,No,No,Yes - sustainable food systems and value chains,"Agroforestry, crop residues recycling "
P511,"Climate change adaptation, poverty and women subsistence farmers","We are helping around 1,000 women farmers to improve the sustainability of their farming systems and help them adapt to climate change. This will contribute to improving their farm productivity and also the food security of their families and communities","The project aims to help around 1,000 women farmers to improve the sustainability of their farming systems and help them adapt to climate change.",The project will contribute to improving their farm productivity and also the food security of their families and communities. ,"Transition Zone, Guinea Savanna",BAR,No,"1,000 small holders women farmers","Productivity, Adaptation ",Crop Production,Yes,Yes,No,No,No,"minimum tillage; agroforestry and increased crop diversity; cover crops; green manuring; composting; use of drought-, heat- and flood- tolerant seeds; rainwater harvesting and storage; and Integrated Soil Fertility Management"
P512,Securing Climate Change Resilience and Mitigation by building Self-reliant Smallholder Farmers within the Lake Bosumtwe Landscape,"The project titled “Securing Climate Change Resilience and Mitigation by building Self-reliant Smallholder Farmers within the Lake Bosumtwe Landscape” is a 20-month project being implemented in eight communities (Adwafo, Abaase, Detieso, Esaase, Duase, Amakom, Adjaman and Atafram) from two District Assemblies (Bosomtwe and Bosome Freho) of Ashanti Region, Ghana.",The main objective of the project is to support farmers in the Lake Bosumtwe Landscape to become self-reliant in securing Climate Change resilience and mitigation.,"The project will develop and pilot a resilience framework for local action planning capacities and methodologies to increase climate change resilience through joint learning, planning and testing by stakeholders in demonstration sites in the Lake Bosomtwe catchment.","Transition Zone, Semi-deciduous",AR,Bosomtwe and Bosome Freho,"Smallholder farmers (80), especially women, from ten communities around the Lake Bosumtwe","Productivity, Adaptation, Mitigation",Crop Production,No,Yes,Yes,Yes,No,"Crop residue left on or in soils, Crop rotation, Mixed cropping, Agroforestry, and biochar"
P513,Climate-smart agriculture for 500 farmers in Ghana,"Smallholder farmers in West Africa are faced with severe climate change impact on crop productivity. The effects of climate change including drought, soil infertility, lack of minimal soil nutrient to support crop growth with low output have resulted in food insecurity. The excessive high heat has produced diverse high-temperature resistant viruses which are really a big economic problem in agriculture for smallholder farmers.",,,Sudan Savanna,No,"Assin Central District,

Cape Coast Metropolitan Assembly",215 small holder farmers,"Productivity, Adaptation ",Crop Production,No,Yes,No,Yes,No,biochar
P514,"Climate-Resilient
Agricultural and Food Systems project","The project aims at building resilience, and at achieving the following outcomes: knowledge on climate change and behaviour changes to adapt to it, food security thanks to diversified livelihoods, a restored natural base and building institutional capacity.","The project was developed around four sets of activities:
1. Climate change awareness raising
2. Improved farming methods for secured livelihoods and diversification of livelihood 
activities
3. Protecting and managing the natural resource base
4. Influencing and institutional capacity.","The project activities first aimed at raising awareness throughout the districts on climate change impact, the 
need to adapt to it, and the restoration of the natural resource base. ",Guinea Savanna,"NR, UER,","Garu Tempane, East Manprus, 
Lawra, Nadowli

",,"Productivity, Adaptation ",Crop Production,Yes,Yes,No,No,No,"tillage, Intercropped cereals with legumes, zai, terrace, crop rotation, manure, compost, vermi-compost,  drought-resistant varieties"
P515,Cocoa Rehabilitation and Intensification Programme (CORIP) Ghana l and ll,"CORIP-Ghana (2013-2017) is providing support services to Cocoa Farmers through the establishment and operation of Rural Service Centres (RSCs). CORIP will help Ghanaian cocoa farmers to implement best agronomic and farm management practices. The main sector goals of the project were to increase foreign exchange earnings, reduce
rural poverty and improve the standard of living in cocoa growing areas through services obtained from the RSC’s","1. Support the Government’s policy reforms aimed at halting and reversing the decline in
cocoa production.
2. Increase cocoa production and stabilise output to 300,000 tons per year.","CORIP aimed to contribute toward reversing the long-term decline of the cocoa sector in West Africa by upgrading and intensifying cocoa production. It did so by establishing service centres, helping farmers with inputs, finance, technical knowhow and labour.","Transition Zone, Guinea Savanna, Rain forest, Semi-deciduous forest, Sudan savannah","AR, BR, BER, WNR, WR,OR, CR, VR",No,"77,655 smallholder farmer ",Productivity,Crop Production ,No,Yes,Yes,No,No,
P516,Collaborative Ecosystems Conservation of Lake Bosumtwi,"The objectives of this project  are to achieve sustainable conservation of the lake and its resources through a collaborative community approach by creating:

1. Community Resource Management Areas (CREMAs),

2. Awareness creation through conservation education

3. Capacity building through the training of community volunteers and engaging communities in waste management.","1. Restoration of degraded land areas.
2. CREMA establishment processes 
3. Sustainable fishing practices training.
4. Biodiversity monitoring volunteer trainings.","The project aims to achieve sustainable conservation of the lake basin and its resources through a collaborative community approach by creating Community Resource Management Areas (CREMAs), awareness creation through conservation education, capacity building through training 
of community volunteers, livelihood support and engaging communities in waste management.",Semi-deciduoud forest,AR,"Bosome Freho and Bosumtwi 
districts",,Productivity,Livestock Production/Forestry/Fisheries and Aquaculture,No,Yes,Yes,No,Yes - Sustainable fishing,
P517,Community-based Integrated Natural Resources Management Project in Okyeman,"The project has the unique opportunity of demonstrating how traditional concepts of Okyeman resource management can be successfully combined with modern concepts. Such a combination offers a more holistic approach to biodiversity conservation and management, as well as implementation of policies and regulations under which sustainable harvesting of non-timber forest products (NTFPs) and wildlife will continue to provide important sources of alternative livelihoods in addition to food crop farming.",The objective of the proposed project is to enhance biodiversity conservation and sustainable use of renewable natural resources in Okyeman through community-based integrated natural resource management approaches. ,"Project fits with World Bank Assistance Strategy, Rural Development Strategy and Forestry Strategy; it complements the ongoing multi-donor supported Ghana Natural Resource Management Program and two GEF-supported Ghana High Forest Biodiversity Project and the Ghana Northern Savanna Biodiversity Conservation Project.","Transitional Zone, Semi-deciduous Zone",ER,"Fanteakwa Districts, East Akyem, West Akyem, Suhum, Birim North, Kwaebebrem.",,Productivity ,Forestry ,No,No,No,No,Yes - Biodiversity Conservation,
P518,Resilient Ecosystems and Sustainable Transformation of Rural Economies (RESTORE),"RESTORE, implemented by the Rainforest Alliance and Olam Food 
Ingredients seeks to demonstrate a scalable and regional
replicable model for community-led governance, natural resource 
management, and biodiversity conservation that aligns with regional and government priorities in cocoa production landscapes in the 
Guinean forests of Ghana and Côte d’Ivoire.","1. Increase tree cover on and off the farm in the cocoa 
production landscapes through tree planting initiatives
2. Set up Landscape Management Boards (LMB) to 
enable effective and inclusive participatory 
governance for conserving forests and restoring 
degraded land in three target landscapes—Sui River in 
Ghana and South Tai National Park and Beki-Bossematie in Côte d’Ivoire
3. Build capacity and market incentives for farmers to apply climate-smart farming 
practices and increase benefits from cocoa farming for women and young people
4. Facilitate economic diversification in cocoa farming communities, creating enabling 
conditions for economic and social empowerment of women and young people",Bringing stakeholders together to improve landscapes and livelihoods,Rain forest,No,"Districts of Bibiani-Anhwiaso-Bekwai, Sefwi Wiawso, Akontombra, and Bodi.  ","5,000 Small holder farmers",Productivity,Crop Production,No,No,No,No,Yes - Integrated Production System,
P519,Enhanced Guinea Fowl Production in the Three Northern Regions in Ghana,,,,Guinea Savanna,"UWR,UER,NR2",No,,Productivity,Livestock Production,No,No,No,No,Yes - Livestock Production,
P520,Feed the Future Ghana Agricultural Development and Value Chain Enhancement II Project,"USAID ADVANCE achieves this goal through boosting the agricultural productivity of the three commodities, improving the value chain actors’ access to finance and markets, and strengthening local capacity.","Sub-purpose 1 - Increased agricultural productivity of targeted commodities
Sub-purpose 2 - Increased market access and trade of targeted commodities
Sub-purpose 3 - Strengthen local capacity for advocacy and activity implementation","The overall goal of ADVANCE is to increase competitiveness of the maize, rice and soybean value 
chains.",Guinea Savanna,"NER, NR1, UER, UWR","Bunkpurugu-Yunyoo, Chereponi, Gushiegu, Karaga, Mamprugu Moagduri, Mion, Nanumba North, Nanumba South, Savelugu Nanton, Saboba, Tamale Metropolitan, Yendi Municipal, Sawla-Tuna-Kalba, Bole, Central Gonja, Tatale Sanguli, Tolon, West Mamprusi, Zabzugu.

Bawku Municipal, Bawku West, Binduri, Bolgatanga Municipal, Builsa North, Builsa South, Garu-Tempane, Kassena Nankana East, Kassena Nankana West.

Daffiama Bussie Issa, Jirapa, Lambussie-Karni, Lawra, Nadowli-Kaleo, Nandom, Sissala East, Sissala West, Wa East, Wa Municipal, Wa West.","119,223 households, trained beneficiaries 124,572, beneficiaries supported 131,493. ","Productivity, Adaptation ",Crop Production,Yes,Yes,Yes,No,Yes - sustainable food systems and value chains,"Improved Varieties, fertilzer (organic and Inorganic), plowing"
P521,"Feed the Future Ghana Agriculture Technology 
Transfer Project","The Feed the Future Ghana AgricultureTechnology Transfer (ATT) Project was funded by the U.S. Agency for International Development’s Ghana Mission (USAID/Ghana)to increase the competitiveness of rice, maize, and soybean value chains to foster broad-based and sustained economic growth through the increased availability of agricultural technologies in northern Ghana. ","Strategic Objective: Increased availability and use of agricultural technologies to increase and sustain productivity in Northern Ghana. 

1.  Increased private sector actors’ role and capacity in developing and disseminating improved technologies
2.  Increased efficiency and transparency of government functions to support seed, 
fertilizer, and ISFM technology development, release, and dissemination
3.  Increased efficiency of targeted agricultural research to develop, release, and 
communicate technologies that support sustainable agricultural productivity. ","The five-year project aimed to increase access to and the availability of key technologies 
related to seed, soil, and water across northern  Ghana ",Guinea Savanna," NR2, UER, UWR",No,"204,175 smallholder farmers","Productivity, Adaptation",Crop Production,Yes,Yes,Yes,No,No,"Incorporating improved varieties 
of high-value crops into their farming systems, double Cropping, Urea deep placement, rhizobial inoculation and phosphate fertilizers, minimum or no-till farming, cover cropping, use of crop residues, mixed cropping, organic matter, s PAVE and Bhungroo systems,  and crop rotation"
P522,"Fertilizer Research and Responsible Implementation (FERARI)
","The study aimed to provide a background on the fertiliser value chain in preparation for the establishment of a fertiliser multi-stakeholder platform that aligns all thr relevant stakeholders tp address existing challenges,","1. To identify key stakeholders in Ghana's fertiliser value chain, their roles and relations.
2. To make an inventory of the key challenges facing the fertiliser value chain in Ghana.
3. To understand the entry points to addressing the fertiliser value chain challenges by means of a Multi-stakeholder Plateform (MSP) approach that addresses issues raised.",The main objective of this research is to provide understanding of the fertiliser value chain in Ghana in preparation for the establishment of a fertiliser multi-stakeholder platform.,"Guinea Savanna, Transitional Zone","UWR, SR, NR1,NER,UER,AhR,ER, AR,BAR1, BER,","Tolon, Gushegu, Yendi, Mion, Saboba, Kumbungu, Savelugu, Zabzugu, West Manprusi, West Gonja, Techiman, Sunyani West, Wenchi",,Productivity,Crop Production,No,Yes (fertilizers),No,No,Yes - Fertiliser Value Chain,
P523,Ghana Tilapia Seed Project (TISEED),"The 3-year program titled “Accelerating aquaculture development in Ghana through sustainable Nile Tilapia seed production and dissemination,” (TiSeed in short) was launched on February 2019 to address issues in the tilapia seed and extension system to improve productivity and profitability of tilapia cage and pond farming in Ghana, with particular focus on women and youth small-scale fish farmers.","1. Improve the quality and service of public and private hatcheries.
2. Increase access to and use of high-quality fish seed for new and existing producers, with specific attention to women and youth.",The project aims to generate and share knowledge on how to best develop the public and private hatchery sector and to promote high-quality Nile tilapia seed and good aquaculture practices among small-scale cage and pond tilapia farmers.,"Transition Zone, Guinea Savanna, Semi-deciduous forest","ER, VR, AR, BR, BER, AhR",No,"A total of 182 farmers, 15 commercial hatchery operators, and 30 zonal officers (of the Fisheries Commission)",Productivity,Fisheries and Aquaculture ,No,No,Yes,No,Yes - Fish Seed Value Chain ,
